165187|SBES122|Anatomy and Physiology for Engineers|Anatomy and Physiology for Engineers
165207|SBES140|Computer Graphics and Visualization|Computer Graphics and Visualization
165289|SBES141|Analytical and Lab Instruments|Analytical and Lab Instruments
165347|SBES151|Measurements and Quantitative Experimentation|Measurements and Quantitative Experimentation
165349|SBES160|Medical Image Processing and Computer Vision|Medical Image Processing and Computer Vision
165441|SBES161|Medical Monitors and Life Support Equipment|Medical Monitors and Life Support Equipment
165495|SBES162|Embedded Systems in Medical Equipment|Embedded Systems in Medical Equipment
165567|SBES171|HealthCare Information Systems (HCIS)|HealthCare Information Systems (HCIS)
165582|SBES180|Medical Imaging Modalities 2|Medical Imaging Modalities 2
165617|SBES240|Requirements Engineering for Digital Health|Requirements Engineering for Digital Health
165691|SBES260|Medical Distributed Application Development|Medical Distributed Application Development
165761|SBES313|Human Factors Engineering|Human Factors Engineering
165793|SBES345|Assistive Technologies|Assistive Technologies
165815|SBES346|Surgery for Engineers|Surgery for Engineers
165869|SBES348|Introduction to Nano-Biosensors|Introduction to Nano-Biosensors
165873|SBES461|Deep Learning in Medicine|Deep Learning in Medicine
165939|SBES466|Biomedical Data Analytics|Biomedical Data Analytics
166043|SBES475|Bioinformatics II|Bioinformatics II
166053|SEES381|Industrial Training-2|Industrial Training-2
166054|SEES482|Graduation Project-2|Graduation Project-2
166102|STES280|Engineering Seminar|Engineering Seminar
166105|STES381|Industrial Training-2|Industrial Training-2
166106|STES482|Graduation Project-2|Graduation Project-2
166118|STRS427|Cost Engineering|Cost Engineering
166140|STRS101|Structural Analysis-1|Structural Analysis-1
166172|STRS204|Mechanics of Materials|Mechanics of Materials
166200|STRS213|Engineering Materials for Architects|Engineering Materials for Architects
166256|STRS302|Steel Structures Design I|Steel Structures Design I
166278|STRS303|Reinforced Concrete Design II|Reinforced Concrete Design II
166296|STRS304|Steel Structures Design II|Steel Structures Design II
166298|STRS305|Matrix Structural Analysis|Matrix Structural Analysis
166300|STRS312|Steel Structures|Steel Structures
166348|STRS322|Construction Planning and Scheduling|Construction Planning and Scheduling
166382|STRS327|Law and Construction Industry|Law and Construction Industry
166400|STRS407|Masonry Structures|Masonry Structures
166430|STRS409|Steel Multistory Buildings|Steel Multistory Buildings
166440|STRS419|Quantity Surveying and Cost Engineering|Quantity Surveying and Cost Engineering
166446|STRS421|Risk Management in Construction Industry|Risk Management in Construction Industry
166468|STRS429|Heavy Construction Methods|Heavy Construction Methods
166486|STRS431|Concrete Durability|Concrete Durability
166496|STRS433|Structural Mechanics and Stability|Structural Mechanics and Stability
166506|STRS437|Seismic Design of Structures|Seismic Design of Structures
166514|STRS441|Reinforced Concrete Design III|Reinforced Concrete Design III
166516|STRS463|Building Information Modeling|Building Information Modeling
166540|WEES482|Graduation Project-2|Graduation Project-2
166550|MEPS438|Hydrogen technologies for a sustainable energy system|Hydrogen technologies for a sustainable energy system
166608|LECS000|LEC*|LEC*
166729|TUTS000|TUT*|TUT*
166757|CMPS345|Advanced Digital design, testing and verification|Advanced Digital design, testing and verification
